OBJECTID,NOMBRE,EMPRESA,DEPARTAMEN,PROVINCIA,DISTRITO,LOCALIDAD,POTENCIA_I,POTENCIA_E,SERVICIO,ALTITUD,RIO,TURBINAS,TIPO,SALTO_NETO,CAUDAL,REPRESA,geometry,X,Y
197.0,LAS PIZARRAS,ELECTRICA RIO DOBLE,CAJAMARCA,SANTA CRUZ,SEXI,,20.0,0.0,2013.0,,Rio Chancay,2,Francis,,,,POINT (-79.01408967700002 -6.643856060000019),-79.01408967700002,-6.643856060000019
198.0,POECHOS 2,SINERSA,PIURA,SULLANA,LANCONES,,10.0,0.0,2009.0,,Chira - Piura,2,Kaplan,,,"Poechos/1976/ riego /600,000 - Salida de fondo",POINT (-80.50923899999998 -4.684779999999989),-80.50923899999998,-4.684779999999989
199.0,SANTA TERESA,LUZ DEL SUR,CUSCO,URUBAMBA,MACHUPICCHU,,98.0,98.12,2015.0,2438,Vilcanota,2,Francis,187.0,34.5,,POINT (-72.59586647700002 -13.114751005000016),-72.59586647700002,-13.114751005000016
200.0,CHEVES,EMPRESA ELECTRICA CHEVES S.A.,LIMA,HUAURA,SAYAN,,168.0,,2015.0,668,Huaura y Checras,2,Pelton,600.0,33.0,,POINT (-77.008328775 -10.92783665899998),-77.008328775,-10.92783665899998
201.0,QUITARACSA,ENERSUR,ANCASH,HUAYLAS,YURACMARCA,,112.0,,2015.0,1465,Quitaracsa,2,Pelton,855.0,15.0,,POINT (-77.82441841100001 -8.776101923999988),-77.82441841100001,-8.776101923999988
202.0,MACHU PICCHU II,EGEMSA,CUSCO,URUBAMBA,MACHUPICCHU,MACHUPICCHU,102.0,102.0,2015.0,"
1728",Urubamba,1,Francis,356.2,31.0,No indica,POINT (-72.563510017 -13.175085842999977),-72.563510017,-13.175085842999977
203.0,SICACATE,ELECTRONOROESTE,PIURA,AYABACA,MONTERO,,1.3,0.5,,,,,,,,,POINT (-79.75145422100002 -4.618748083000014),-79.75145422100002,-4.618748083000014
204.0,RUNATULLO III,EMPRESA DE GENERACIÓN ELÉCTRICA DE JUNÍN,JUNIN,CONCEPCION,MARISCAL CASTILLA,MARISCAL CASTILLA,20.0,20.0,2014.0,,,2,,,,,POINT (-75.06965065700001 -11.652917452999986),-75.06965065700001,-11.652917452999986
205.0,RUNATULLO II,EMPRESA DE GENERACIÓN ELÉCTRICA DE JUNÍN,JUNIN,CONCEPCION,MARISCAL CASTILLA,MARISCAL CASTILLA,20.0,19.1,2014.0,,,2,,,,,POINT (-75.05881611000001 -11.646236478999981),-75.05881611000001,-11.646236478999981
206.0,CHAGLLA,EMPRESA GENERACION HUALLAGA S.A.,HUANUCO,HUANUCO-PACHITEA,CHINCHAO-CHAGLLA,,406.0,406.0,2016.0,1000,Huallaga,2,,,129.1,,POINT (-75.885794772 -9.601788785999986),-75.885794772,-9.601788785999986
