,OBJECTID,EMPRESA,NOMBRE,TENSION_NO,ESTACION,POTENCIA_N,NUMERO_TRA,geometry
85,496.0,REP,SANTUARIO,138.0,S.E. SANTUARIO,0.0,0.0,POINT (-71.44506292699998 -16.262179688999993)
86,497.0,ELECTRODUNAS,PUQUIO,60.0,S.E. PUQUIO,9.0,1.0,POINT (-74.11514906000002 -14.686876917999996)
87,498.0,REP,TINTAYA,138.0,S.E. TINTAYA,120.0,4.0,POINT (-71.31382757199998 -14.882593498000006)
88,499.0,REP,TRUJILLO NORTE,220.0,S.E. TRUJILLO NORTE,345.0,5.0,POINT (-79.05539520299999 -8.045222409000019)
89,500.0,REP,TOCACHE,138.0,S.E. TOCACHE,14.0,2.0,POINT (-76.509306407 -8.185172684999998)
90,501.0,HIDRANDINA,TRUJILLO SUR,138.0,S.E. TRUJILLO SUR,150.0,3.0,POINT (-79.01710385400003 -8.124475315999973)
91,502.0,REP,TRUJILLO NOROESTE,138.0,S.E. TRUJILLO NORTE_138,60.0,1.0,POINT (-79.05450782000003 -8.091141429999993)
92,503.0,HIDRANDINA,GALLITO CIEGO,60.0,S.E. GALLITO CIEGO,0.0,0.0,POINT (-79.21303188299999 -7.238435810999988)
93,504.0,REP,GUADALUPE,220.0,S.E. GUADALUPE,110.0,3.0,POINT (-79.45810214300002 -7.305374323000024)
94,505.0,ABENGOA,CAJAMARCA NORTE,220.0,S.E. CAJAMARCA NORTE,150.0,2.0,POINT (-78.603042496 -7.058439995000015)
95,506.0,CEMENTO PACASMAYO,CEMENTOS PACASMAYO,60.0,S.E. PACASMAYO,92.5,3.0,POINT (-79.553333656 -7.408870035000007)
96,507.0,ELECTRONORTE,CUTERVO,138.0,S.E. CUTERVO,10.0,1.0,POINT (-78.81206653999999 -6.401087753000013)
97,508.0,ELECTRONORTE,CARHUAQUERO,138.0,S.E. CARHUAQUERO ELN,35.0,1.0,POINT (-79.24730941399997 -6.6057015690000185)
98,509.0,ELECTRONORTE,NUEVA JAEN,138.0,S.E. NUEVA JAEN,20.0,1.0,POINT (-78.80640249599998 -5.685444815999972)
99,510.0,TRANSMANTARO,LA NIÑA,500.0,S.E. NINA,672.0,1.0,POINT (-80.53122352999998 -5.927279424000005)
100,511.0,REP,PIURA OESTE,220.0,S.E. PIURA OESTE,200.0,3.0,POINT (-80.69914806499997 -5.1691769189999945)
101,512.0,EGENOR,PAITA,60.0,PAITA,37.0,12.0,POINT (-81.10138016799999 -5.086278827000001)
102,513.0,REP,ZORRITOS,220.0,S.E. ZORRITOS,65.0,1.0,POINT (-80.60392585199997 -3.645864388000007)
103,514.0,REP,MACHALA,220.0,S.E. MACHALA,0.0,3.0,POINT (-79.932574881 -3.269308572)
104,515.0,ELECTROSUR,PARQUE INDUSTRIAL,60.0,S.E. PARQUE INDUSTRIAL,20.0,1.0,POINT (-70.23200113000001 -17.99061299599998)
105,516.0,LUZ DEL SUR,SALAMANCA,60.0,S.E. SALAMANCA,90.0,2.0,POINT (-76.99057014200002 -12.076572241000008)
106,517.0,ELECTRO NOR OESTE,SULLANA,60.0,S.E. SULLANA,65.0,2.0,POINT (-80.67788932399998 -4.913867132999997)
107,518.0,ELECTRO NOR OESTE,PIURA CENTRO,60.0,S.E. PIURA CENTRO,74.0,1.0,POINT (-80.63592217399997 -5.183075789999975)
108,519.0,REP,CHIMBOTE SUR,138.0,S.E. CHIMBOTE2,31.0,1.0,POINT (-78.51394474 -9.105087292000007)
109,520.0,REP,HUACHO,220.0,S.E. HUACHO_220,80.0,2.0,POINT (-77.51587928200001 -11.114304737999987)
110,521.0,EGESUR,ARICOTA I,60.0,C.H. ARICOTA1,28.2,1.0,POINT (-70.355958563 -17.398939465000012)
111,522.0,ELECTRODUNAS,ALTO LA LUNA,60.0,S.E. ALTO LUNA,37.0,1.0,POINT (-76.19412328300001 -13.712244374000022)
112,523.0,ELECTRODUNAS,PARACAS,60.0,S.E. PARACAS,37.5,1.0,POINT (-76.24201187 -13.806048465000003)
113,524.0,ELECTROANDES,PARAGSHA 1,138.0,S.E. PARAGSHA1,44.0,1.0,POINT (-76.26395273499998 -10.674100113000009)
114,525.0,ELECTRO CENTRO,SALENIANOS,60.0,S.E. SALESIANOS,25.0,2.0,POINT (-75.21744955600002 -12.069007253999985)
115,526.0,ELECTRO CENTRO,PARQUE INDUSTRIAL,60.0,S.E. PARQUE INDUSTRIAL,22.0,2.0,POINT (-75.23152375900003 -12.046585529000026)
116,527.0,EGEMSA,DOLORESPATA,138.0,S.E. DOLORES PATA,36.6,3.0,POINT (-71.971382 -13.53017699999998)
117,528.0,REP,CHIMBOTE 1,220.0,S.E. CHIMBOTE1,240.0,2.0,POINT (-78.55674359300002 -9.01077974399999)
118,529.0,CONENHUA,UCHUCHACUA,138.0,S.E. UCHUCCHACUA,58.0,3.0,POINT (-76.68818723499999 -10.617951188000006)
