,OBJECTID,NOMBRE,EMPRESA,DEPARTAMEN,PROVINCIA,DISTRITO,LOCALIDAD,POTENCIA_I,POTENCIA_E,SERVICIO,CENTRAL,COMBUSTIBL,UNIDADES,TENSION,geometry
27,74.0,C.T. TAPARACHI,SAN GABAN,PUNO,SAN ROMAN,JULIACA,TAPARACHI,7.0,3.93,1982.0,DIESEL,DIESEL 2,4.0,13.8,POINT (-70.12466741200001 -15.510113080999986)
28,75.0,C.T. TARAPOTO,ELECTRO ORIENTE,SAN MARTIN,,,TARAPOTO,18.0,0.0,1970.0,DIESEL,DIESEL 2,2.0,10.0,POINT (-76.35700300000002 -6.492056999999988)
29,76.0,C.T. TUMBES,ELECTROPERU,TUMBES,CONTRALMIRANTE VILLAR,ZORRITOS,NUEVA ESPERANZA,16.35,11.200000000000001,1996.0,DIESEL,PETROLEO,0.0,10.0,POINT (-80.60421100000002 -3.642900999999995)
30,77.0,C.T. YARINACOCHA,ELECTROUCAYALI,UCAYALI,CORONEL PORTILLO,YARINACOCHA,YARINACOCHA,10.0,0.0,0.0,,GAS NATURAL,0.0,10.0,POINT (-74.60664315399998 -8.353945334000002)
31,78.0,C.T. PUERTO MALDONADO,ELECTRO SUR ESTE,MADRE DE DIOS,PUERTO MALDONADO,TAMBOPATA,,9.0,0.0,1983.0,GAS,DIESEL D2,10.0,22.900000000000002,POINT (-69.17243000000002 -12.599260000000015)
32,79.0,C.T. SANTO DOMINGO DE LOS OLLEROS,TERMOCHILCA,LIMA,CAÑETE,CHILCA,CHILCA,197.6,190.0,2013.0,GAS,GAS NATURAL,1.0,16.5,POINT (-76.71634051400002 -12.494333159000007)
33,80.0,C.T. FENIX,FENIX POWER PERU,LIMA,CAÑETE,CHILCA,,570.0,0.0,2014.0,CICLO COMBINADO,GAS NATURAL,3.0,18.0,POINT (-76.73519261899997 -12.543701073000022)
34,81.0,C.T. CALANA,EGESUR,TACNA,TACNA,CALANA,,25.650000000000002,25.650000000000002,,DIESEL,DIESEL,4.0,10.4,POINT (-75.968373294 -13.715498018000005)
35,82.0,C.T. RESERVA FRIA ILO,ENERSUR,MOQUEGUA,ILO,ILO,ILO,460.0,0.0,2013.0,PETROLEO-GAS NATURAL,GAS NATURAL,3.0,13.8,POINT (-71.18722803600002 -17.776778713)
36,83.0,C.T. MALACAS,EEPSA,PIURA,TALARA,PARIÑAS,MALACA,180.0,147.88,2013.0,GAS,GAS NATURAL,3.0,13.8,POINT (-81.26570403699998 -4.536314036000022)
37,84.0,C.T. LAS FLORES,KALLPA GENERACION,LIMA,CAÑETE,CHILCA,CHILCA,192.8,192.85,2010.0,GAS,GAS NATURAL,1.0,16.5,POINT (-76.71727583199998 -12.520837031999974)
38,85.0,C.T. TRUJILLO SUR,EGENOR,LA LIBERTAD,TRUJILLO,TRUJILLO,,20.0,0.0,,DIESEL,PETROLEO,,,POINT (-79.01619658200002 -8.124153279999973)
39,86.0,C.T. ETEN,ETEN,LAMBAYEQUE,CHICLAYO,PUERTO ETEN,,200.0,200.0,2015.0,GAS,DIESEL B5/GAS NATURAL,1.0,18.0,POINT (-79.78929181199999 -6.88505117599999)
40,87.0,C.T. LAGUNAS NORTE,MINERA BARRICK MISQUICHILCA S.A.,LA LIBERTAD,STGO. CHUCO,QUIRUVILCA,,12.780000000000001,,2014.0,DIESEL,DIESEL 2,7.0,4.16,POINT (-78.24030348299999 -7.958158530999981)
41,88.0,C.T. ILLAPU,ILLAPU ENERGY S.A,LIMA,CHOSICA,LURIGANCHO,,15.0,13.6,2011.0,TURBOGAS,GAS NATURAL,1.0,13.8,POINT (-76.88508124499998 -12.015705674999992)
42,89.0,C.T. RECKA,SOCIEDAD MINERA CERRO VERDE S.A.A,LAMBAYEQUE,CHICLAYO,REQUE,,180.0,180.0,2015.0,GAS,DIESEL B5/GAS,1.0,18.0,POINT (-79.79224310299998 -6.879024244999982)
